
 ┌───────────────────────────────────────────────────┐ 
 │                 ESTELAR.SU Store                  │ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ............ 53  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 7324 │ 
 └───────────────────────────────────────────────────┘ 

2026-04-24 23:18:34 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 23:18:34 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 23:18:34 | 202 |      1.4665ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:35 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:36 | 202 |      1.5033ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:36 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:36 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 23:18:36 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 23:18:36 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 23:18:36 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 23:18:36 | 202 |      1.6238ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:36 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:44 | 202 |      1.2409ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:44 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:47 | 202 |      1.0176ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:47 | 200 |          61µs | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:48 | 202 |      1.1468ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:48 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:52 | 202 |      1.0197ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:52 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:55 | 200 |     196.332ms | 127.0.0.1 | GET | /api/v1/admin/session | -
2026-04-24 23:18:55 | 200 |    658.9669ms | 127.0.0.1 | GET | /api/v1/admin/dashboard | -
2026-04-24 23:18:55 | 200 |     69.5628ms | 127.0.0.1 | GET | /api/v1/admin/orders | -
2026-04-24 23:18:55 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:59 | 202 |       1.212ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 23:18:59 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
